,Time,Z,E
0,0.0,1.0415073543992175,-0.04150735439921738
1,1889.0,0.9230534682066229,0.07694653179337718
2,3777.0,0.7932872489743868,0.20671275102561312
3,5665.0,0.7172624533235309,0.28273754667646916
4,7553.0,0.6706413658119073,0.3293586341880928
5,9442.0,0.5669176704820068,0.4330823295179933
6,11329.0,0.5679993449876097,0.43200065501239027
7,13212.0,0.5057409473905758,0.4942590526094242
8,15098.0,0.4708237198879177,0.5291762801120823
9,16977.0,0.3980624243403137,0.6019375756596862
10,18867.0,0.36349030163711576,0.6365096983628843
11,20755.0,0.36123657799035136,0.6387634220096485
12,22642.0,0.2880362278900272,0.7119637721099729
13,24528.0,0.26894060358711264,0.7310593964128874
14,26413.0,0.2364163143985473,0.7635836856014527
15,28304.0,0.23460186370960986,0.7653981362903901
16,30190.0,0.21694958635500003,0.783050413645
17,32079.0,0.18995970681686566,0.8100402931831343
18,33962.0,0.18802668655503596,0.811973313444964
19,35847.0,0.16701287913334664,0.8329871208666533
20,37736.0,0.16413514142367838,0.8358648585763216
21,39626.0,0.11007961041147728,0.8899203895885227
22,41512.0,0.11525349883491853,0.8847465011650815
23,43404.0,0.11555494493950587,0.8844450550604942
24,45297.0,0.09265554828377966,0.9073444517162204
25,47183.0,0.08991865614496508,0.9100813438550349
26,49071.0,0.10039389580338245,0.8996061041966176
27,50961.0,0.06292945038380539,0.9370705496161946
28,52852.0,0.06446508840460353,0.9355349115953965
29,54737.0,0.06200657538045733,0.9379934246195426
30,56628.0,0.055429462361899856,0.9445705376381001
31,58518.0,0.06108481313447186,0.9389151868655281
32,60408.0,0.03237033046058639,0.9676296695394135
33,62293.0,0.044090798469264336,0.9559092015307357
34,64178.0,0.035425415590919995,0.96457458440908
35,66066.0,0.03225404349909388,0.9677459565009061
36,67951.0,0.040331323058597816,0.9596686769414021
37,69828.0,0.027625391265281726,0.9723746087347181
38,71719.0,0.02499858595809851,0.9750014140419014
39,73610.0,0.027417673795017854,0.9725823262049822
40,75495.0,0.028053010766945833,0.9719469892330541
41,77376.0,0.017569038534591,0.982430961465409
42,79266.0,0.013418563869725198,0.9865814361302748
43,81151.0,0.014747496345357715,0.9852525036546422
44,83037.0,0.01379968983375203,0.986200310166248
