Time,Z
0,1
1440,0.92364532
2880,0.858400587
4320,0.846394984
5760,0.793905373
7200,0.674662669
8640,0.646551724
10080,0.620689655
11520,0.581896552
12960,0.50729443
14400,0.475017593
15840,0.465517241
17280,0.387931034
18720,0.365111562
20160,0.348346235
21600,0.322055953
23040,0.285010556
24480,0.316091954
25920,0.263500325
27360,0.253918495
28800,0.225705329
30240,0.201149425
31680,0.169278997
33120,0.175666884
34560,0.175666884
36000,0.163339383
37440,0.138546798
38880,0.119363395
40320,0.141065831
41760,0.114942529
43200,0.089522546
44640,0.117111256
46080,0.084639498
47520,0.060851927
48960,0.055418719
50400,0.055418719
51840,0.081669691
53280,0.057471264
54720,0.056426332
56160,0.057471264
57600,0.054446461
59040,0.056426332
60480,0.060851927
61920,0.02722323
63360,0.028213166
64800,0.02722323
66240,0.030425963
