Time,Z
0,1
1440,0.887013596
2880,0.87116176
4320,0.826923077
5760,0.761061947
7200,0.744202146
8640,0.64493419
10080,0.60071475
11520,0.548708372
12960,0.50798212
14400,0.449192783
15840,0.401735068
17280,0.418392969
18720,0.365513054
20160,0.32668566
21600,0.318518519
23040,0.274134791
24480,0.258626148
25920,0.242937853
27360,0.223521767
28800,0.227513228
30240,0.21779044
31680,0.188951664
33120,0.168322794
34560,0.160597572
36000,0.145987654
37440,0.135802469
38880,0.121571954
40320,0.113756614
41760,0.107769424
43200,0.115591398
44640,0.095795043
46080,0.080783682
47520,0.083195135
48960,0.071846282
50400,0.080202505
51840,0.071310116
53280,0.059425097
54720,0.047540077
56160,0.047187929
57600,0.044238683
59040,0.039162113
60480,0.034126984
61920,0.034621578
63360,0.034621578
64800,0.035655058
66240,0.033179012
