Time,Z
0,1
1440,0.833333333
2880,0.729166667
4320,0.607638889
5760,0.523767606
7200,0.486111111
8640,0.380434783
10080,0.326492537
11520,0.291666667
12960,0.246975806
14400,0.212673611
15840,0.209760274
17280,0.195895522
18720,0.160845588
20160,0.125
21600,0.104166667
23040,0.08989726
24480,0.085227273
25920,0.08989726
27360,0.064338235
28800,0.059931507
30240,0.056818182
31680,0.033143939
33120,0.024717514
34560,0.017134465
36000,0.013586957
37440,0.007267442
38880,0.004595588
