Time,Z
0,1
1440,0.984478936
2880,0.967045455
4320,0.899577167
5760,0.880952381
7200,0.862470862
8640,0.782241015
10080,0.798863636
11520,0.76446281
12960,0.731225296
14400,0.726239669
15840,0.688016529
17280,0.635353535
18720,0.611570248
20160,0.597979798
21600,0.586680761
23040,0.574279379
24480,0.54756871
25920,0.533259424
27360,0.492239468
28800,0.448484848
30240,0.455492424
31680,0.448484848
33120,0.438735178
34560,0.41187384
36000,0.393617021
37440,0.393617021
38880,0.385416667
40320,0.385416667
41760,0.32205029
43200,0.336363636
44640,0.32205029
46080,0.315340909
47520,0.336363636
48960,0.292490119
50400,0.28030303
51840,0.267561983
53280,0.261616162
54720,0.258741259
56160,0.250483559
57600,0.24025974
59040,0.219367589
60480,0.214700193
61920,0.224242424
63360,0.210227273
64800,0.182806324
66240,0.178916828
67680,0.175189394
69120,0.178916828
70560,0.1716141
72000,0.161713287
73440,0.143133462
74880,0.164884135
76320,0.13729128
77760,0.134545455
79200,0.13729128
80640,0.134545455
82080,0.126929674
83520,0.095197256
