Time,Z
0,1
644,0.868064387
1288,0.716279233
1932,0.642759405
2576,0.559789609
3220,0.494285535
3864,0.425666624
4508,0.382043119
5152,0.331560439
5796,0.292517458
6440,0.25517885
7084,0.220490116
7728,0.19992053
8372,0.176947611
9016,0.16430271
9660,0.149169658
10304,0.132031047
10948,0.113252884
11592,0.099816277
12236,0.085055014
12880,0.081395011
13524,0.067173527
14168,0.061099888
14812,0.061355707
15456,0.049913553
16100,0.043703129
16744,0.039598908
17388,0.034094499
18032,0.032184349
18676,0.028826807
19320,0.024409144
19964,0.025650543
20608,0.022946659
21252,0.020013061
21896,0.018795619
