Time,Z
0,1
1440,0.964912281
2880,0.921052632
4320,0.897435897
5760,0.852713178
7200,0.833333333
8640,0.813953488
10080,0.775193798
11520,0.757575758
12960,0.736434109
14400,0.71969697
15840,0.666666667
17280,0.658914729
18720,0.615942029
20160,0.615942029
21600,0.579710145
23040,0.518518519
24480,0.515873016
25920,0.518518519
27360,0.481481481
28800,0.496453901
30240,0.460992908
31680,0.434782609
33120,0.416666667
34560,0.407407407
36000,0.362318841
37440,0.381944444
38880,0.354609929
40320,0.357142857
41760,0.340909091
43200,0.3125
44640,0.303030303
46080,0.289855072
47520,0.272108844
48960,0.259259259
50400,0.253623188
51840,0.259259259
53280,0.259259259
54720,0.222222222
56160,0.217391304
57600,0.212765957
59040,0.185185185
60480,0.177304965
61920,0.217391304
63360,0.185185185
64800,0.198412698
66240,0.170940171
67680,0.18115942
69120,0.158730159
77160,0.142857143
78600,0.12195122
80040,0.119047619
