Time,Z
0,1
1440,0.964912281
2880,0.952380952
4320,0.952380952
5760,0.888888889
7200,0.851851852
8640,0.797101449
10080,0.814814815
11520,0.736434109
12960,0.729166667
14400,0.688405797
15840,0.674603175
17280,0.615942029
18720,0.615942029
20160,0.568181818
21600,0.555555556
23040,0.543478261
24480,0.518518519
25920,0.53030303
27360,0.492424242
28800,0.465116279
30240,0.444444444
31680,0.454545455
33120,0.444444444
34560,0.407407407
36000,0.407407407
37440,0.362318841
38880,0.37037037
40320,0.347222222
41760,0.333333333
43200,0.319148936
44640,0.326086957
46080,0.289855072
47520,0.259259259
48960,0.283687943
50400,0.277777778
51840,0.243055556
53280,0.253623188
54720,0.238095238
56160,0.212765957
57600,0.212765957
59040,0.208333333
60480,0.177304965
61920,0.177304965
63360,0.173611111
64800,0.173611111
66240,0.173611111
67680,0.166666667
69120,0.170068027
70560,0.163398693
72000,0.136054422
73440,0.148148148
74880,0.136054422
76320,0.138888889
77760,0.133333333
79200,0.133333333
80640,0.130718954
82080,0.108695652
83520,0.104166667
84960,0.106382979
86400,0.098039216
87840,0.102040816
89280,0.102040816
90720,0.106382979
92160,0.104166667
93600,0.104166667
95040,0.102040816
96480,0.1
97920,0.066666667
99360,0.064102564
100800,0.064102564
102240,0.065359477
103680,0.065359477
105120,0.064102564
