Time,Z
0,1
1440,0.84
2880,0.705714286
4320,0.588679245
5760,0.557142857
7200,0.466206897
8640,0.38779661
10080,0.352542373
11520,0.277333333
12960,0.282033898
14400,0.211525424
15840,0.208
17280,0.176271186
18720,0.176271186
20160,0.145964912
21600,0.107586207
23040,0.104
24480,0.068196721
25920,0.100645161
27360,0.067096774
28800,0.069333333
30240,0.065
31680,0.034098361
33120,0.033015873
34560,0.031515152
36000,0.032
37440,0.0325
38880,0.033015873
40320,0.033015873
