Time,Z
0,1
644,0.899458791
1288,0.817972528
1932,0.760420267
2576,0.661336379
3220,0.568419979
3864,0.514044016
4508,0.456258885
5152,0.394047511
5796,0.343512093
6440,0.279140076
7084,0.258107911
7728,0.24603666
8372,0.198953888
9016,0.187973047
9660,0.164089745
10304,0.147799996
10948,0.121070303
11592,0.111353515
12236,0.106803949
12880,0.085393425
13524,0.076880364
14168,0.073473714
14812,0.070197671
15456,0.055704009
16100,0.049276905
16744,0.048564981
17388,0.03938218
18032,0.035533256
18676,0.033308559
19320,0.031640657
19964,0.022489926
20608,0.026741036
21252,0.022653698
