Time,Z
0,1
1440,0.991171994
2880,1.00029146
4320,0.975020145
5760,0.952054795
7200,0.904109589
8640,0.923552806
10080,0.891667714
11520,0.848451191
12960,0.863013699
14400,0.81299777
15840,0.79695586
17280,0.803210428
18720,0.806764456
20160,0.773605675
21600,0.733770101
23040,0.736531728
24480,0.717547293
25920,0.704135194
27360,0.705911391
28800,0.697493569
30240,0.668254914
31680,0.658838878
33120,0.639065558
34560,0.651432673
36000,0.615842764
37440,0.584937287
38880,0.609436834
40320,0.567602433
41760,0.559505231
43200,0.544491769
44640,0.544324422
46080,0.52211007
47520,0.510796378
48960,0.517373155
50400,0.517772011
51840,0.473002027
53280,0.480349345
54720,0.488521924
56160,0.486929473
57600,0.454028833
59040,0.436024483
60480,0.437051533
61920,0.443190975
63360,0.441336619
64800,0.422975246
66240,0.412187481
67680,0.390898149
69120,0.400048491
77160,0.383561644
78600,0.367053038
80040,0.371819961
81480,0.344787555
82920,0.378371854
84360,0.393681353
85800,0.331247048
87240,0.345727332
88680,0.33406565
90120,0.305266887
91560,0.312961012
93000,0.312175954
94440,0.301369863
95880,0.300215189
97320,0.29444182
98760,0.295342466
100200,0.299024572
101640,0.282895082
103080,0.272391992
104520,0.287298118
105960,0.256104824
107400,0.265914585
108840,0.246473494
110280,0.245161992
111720,0.256104824
113160,0.251141553
114600,0.237032477
116040,0.227448953
117480,0.235804664
118920,0.233620049
120360,0.224301997
121800,0.226027397
123240,0.206494165
124680,0.218640881
126120,0.194611535
127560,0.199771689
129000,0.203479652
130440,0.206260743
131880,0.195545331
133320,0.190521178
134760,0.19333161
136200,0.173867229
137640,0.159214267
139080,0.17727639
140520,0.175342466
141960,0.165587837
143400,0.160303119
144840,0.159484052
146280,0.153868416
147720,0.150684932
149160,0.157510381
150600,0.160873592
152040,0.145824127
153480,0.145992321
154920,0.150684932
156360,0.13494173
157800,0.130783148
159240,0.144568569
160680,0.132280665
162120,0.123776908
163560,0.131030375
165000,0.12143108
166440,0.124220553
167880,0.113724477
169320,0.113724477
170760,0.120987901
