,Time,Z,E
0,0.0,1.0448223575046383,-0.0448223575046382
1,2027.0,0.9199299761420029,0.08007002385799705
2,3914.0,0.7841565747247952,0.21584342527520475
3,5802.0,0.7034439625588206,0.2965560374411795
4,7690.0,0.6402365194079745,0.35976348059202556
5,9581.0,0.5823337277424662,0.4176662722575339
6,11467.0,0.5281422482802597,0.4718577517197403
7,13353.0,0.4659394846503073,0.5340605153496926
8,15234.0,0.42721960310325807,0.5727803968967419
9,17119.0,0.39176583716646646,0.6082341628335336
10,19005.0,0.36790419738809277,0.6320958026119072
11,20891.0,0.3090861233623448,0.6909138766376551
12,22781.0,0.3115195720753576,0.6884804279246424
13,24668.0,0.2935069427566269,0.7064930572433731
14,26552.0,0.24110728697555697,0.7588927130244429
15,28440.0,0.2143273141563391,0.7856726858436609
16,30329.0,0.21937393074471148,0.7806260692552885
17,32216.0,0.19003645181474496,0.8099635481852551
18,34101.0,0.15810232606428878,0.8418976739357112
19,35986.0,0.13911232577907376,0.8608876742209263
20,37875.0,0.1272581306086255,0.8727418693913745
21,39763.0,0.11073206641099924,0.8892679335890008
22,41649.0,0.0973974395306624,0.9026025604693376
23,43540.0,0.0997815426454847,0.9002184573545153
24,45434.0,0.09059439579092203,0.9094056042090779
25,47325.0,0.08147649475785926,0.9185235052421407
26,49206.0,0.08939413674254901,0.9106058632574511
27,51097.0,0.06918323612982105,0.930816763870179
28,52988.0,0.06551581781664015,0.9344841821833599
29,54879.0,0.05941747908579899,0.9405825209142009
30,56767.0,0.0555130804055915,0.9444869195944086
31,58656.0,0.05327914482312332,0.9467208551768768
32,60545.0,0.03799063835857553,0.9620093616414245
33,62433.0,0.044812202992469546,0.9551877970075304
34,64321.0,0.029308195193723977,0.970691804806276
35,66202.0,0.035024393381955676,0.9649756066180444
36,68092.0,0.024721898138695263,0.9752781018613047
37,69970.0,0.02699629452979712,0.9730037054702029
38,71858.0,0.020941148549669362,0.9790588514503307
39,73747.0,0.022695376202756117,0.9773046237972439
40,75635.0,0.025878125085210296,0.9741218749147897
41,77517.0,0.021716301713140526,0.9782836982868595
42,79404.0,0.01130838780722841,0.9886916121927717
43,81294.0,0.01327889148837901,0.9867211085116209
44,83177.0,0.006753725777618698,0.9932462742223814
