Arrival Time	full	INorm(full)
(ms)	(arb. units)	(max)
5.437	-0.007	-0.008
5.485	-0.007	-0.008
5.533	-0.007	-0.008
5.580	-0.007	-0.008
5.628	-0.007	-0.008
5.676	-0.007	-0.008
5.723	-0.007	-0.008
5.771	-0.007	-0.008
5.819	-0.007	-0.008
5.867	-0.007	-0.008
5.914	-0.007	-0.008
5.962	-0.007	-0.008
6.010	-0.007	-0.008
6.057	-0.007	-0.008
6.105	-0.007	-0.008
6.153	-0.007	-0.008
6.200	-0.007	-0.008
6.248	-0.007	-0.008
6.296	-0.007	-0.008
6.344	-0.007	-0.008
6.391	-0.007	-0.008
6.439	-0.007	-0.008
6.487	-0.007	-0.008
6.534	-0.007	-0.008
6.582	-0.007	-0.008
6.630	-0.007	-0.008
6.677	-0.007	-0.008
6.725	-0.007	-0.008
6.773	-0.007	-0.008
6.820	-0.007	-0.008
6.868	-0.007	-0.008
6.916	-0.007	-0.008
6.964	-0.007	-0.008
7.011	-0.007	-0.008
7.059	-0.007	-0.008
7.107	-0.007	-0.008
7.154	-0.007	-0.008
7.202	-0.007	-0.008
7.250	-0.007	-0.008
7.297	-0.007	-0.008
7.345	-0.007	-0.008
7.393	-0.007	-0.008
7.441	-0.007	-0.008
7.488	-0.007	-0.008
7.536	-0.007	-0.008
7.584	-0.007	-0.008
7.631	-0.007	-0.008
7.679	-0.007	-0.008
7.727	-0.007	-0.008
7.774	-0.007	-0.008
7.822	-0.007	-0.008
7.870	-0.007	-0.008
7.918	-0.007	-0.008
7.965	-0.007	-0.008
8.013	-0.007	-0.008
8.061	-0.007	-0.008
8.108	-0.007	-0.008
8.156	-0.007	-0.008
8.204	-0.007	-0.008
8.251	-0.007	-0.008
8.299	-0.007	-0.008
8.347	-0.007	-0.008
8.394	-0.007	-0.008
8.442	-0.007	-0.008
8.490	-0.007	-0.008
8.538	-0.007	-0.008
8.585	-0.007	-0.008
8.633	-0.007	-0.008
8.681	-0.007	-0.008
8.728	-0.007	-0.008
8.776	-0.007	-0.008
8.824	-0.007	-0.008
8.871	-0.007	-0.008
8.919	-0.007	-0.008
8.967	-0.007	-0.008
9.015	-0.007	-0.008
9.062	-0.007	-0.008
9.110	-0.007	-0.008
9.158	-0.007	-0.008
9.205	-0.007	-0.008
9.253	-0.007	-0.008
9.301	-0.007	-0.008
9.348	-0.007	-0.008
9.396	-0.007	-0.008
9.444	-0.007	-0.008
9.491	-0.007	-0.008
9.539	-0.007	-0.008
9.587	-0.007	-0.008
9.635	-0.007	-0.008
9.682	-0.007	-0.008
9.730	-0.007	-0.008
9.778	-0.007	-0.008
9.825	-0.007	-0.008
9.873	-0.007	-0.008
9.921	-0.007	-0.008
9.968	-0.007	-0.008
10.016	-0.007	-0.008
10.064	-0.006	-0.008
10.112	-0.006	-0.008
10.159	-0.007	-0.008
10.207	-0.006	-0.008
10.255	-0.006	-0.008
10.302	-0.007	-0.008
10.350	-0.006	-0.008
10.398	-0.007	-0.008
10.445	-0.007	-0.008
10.493	-0.007	-0.008
10.541	-0.007	-0.008
10.588	-0.007	-0.008
10.636	-0.007	-0.008
10.684	-0.007	-0.008
10.732	-0.007	-0.008
10.779	-0.007	-0.008
10.827	-0.007	-0.008
10.875	-0.007	-0.008
10.922	-0.007	-0.008
10.970	-0.007	-0.008
11.018	-0.007	-0.008
11.065	-0.007	-0.008
11.113	-0.007	-0.008
11.161	-0.006	-0.007
11.209	-0.006	-0.007
11.256	-0.006	-0.007
11.304	-0.006	-0.007
11.352	-0.006	-0.007
11.399	-0.005	-0.006
11.447	-0.004	-0.005
11.495	-0.004	-0.005
11.542	-0.004	-0.005
11.590	-0.004	-0.005
11.638	-0.004	-0.005
11.685	-0.004	-0.005
11.733	-0.004	-0.005
11.781	-0.003	-0.003
11.829	-0.003	-0.004
11.876	-0.003	-0.004
11.924	-0.002	-0.003
11.972	-0.002	-0.003
12.019	-0.001	-0.002
12.067	-0.001	-0.001
12.115	-0.001	-0.001
12.162	-0.000	-0.000
12.210	0.001	0.001
12.258	0.001	0.001
12.306	0.001	0.001
12.353	0.000	0.000
12.401	0.001	0.001
12.449	0.002	0.002
12.496	0.001	0.002
12.544	0.002	0.002
12.592	0.002	0.002
12.639	0.004	0.004
12.687	0.005	0.005
12.735	0.005	0.005
12.782	0.003	0.004
12.830	0.003	0.003
12.878	0.003	0.004
12.926	0.005	0.006
12.973	0.004	0.004
13.021	0.003	0.004
13.069	0.004	0.005
13.116	0.004	0.004
13.164	0.003	0.003
13.212	0.003	0.004
13.259	0.003	0.004
13.307	0.003	0.003
13.355	0.002	0.002
13.403	0.001	0.001
13.450	0.000	0.000
13.498	0.000	0.000
13.546	0.001	0.002
13.593	0.001	0.002
13.641	0.002	0.003
13.689	0.003	0.004
13.736	0.004	0.004
13.784	0.005	0.006
13.832	0.006	0.007
13.879	0.009	0.010
13.927	0.011	0.013
13.975	0.014	0.016
14.023	0.015	0.018
14.070	0.016	0.019
14.118	0.019	0.023
14.166	0.020	0.024
14.213	0.022	0.026
14.261	0.024	0.028
14.309	0.024	0.029
14.356	0.024	0.029
14.404	0.023	0.027
14.452	0.024	0.029
14.500	0.024	0.028
14.547	0.023	0.028
14.595	0.023	0.027
14.643	0.023	0.027
14.690	0.027	0.032
14.738	0.037	0.045
14.786	0.065	0.077
14.833	0.120	0.143
14.881	0.210	0.249
14.929	0.317	0.376
14.977	0.449	0.534
15.024	0.583	0.692
15.072	0.702	0.834
15.120	0.781	0.927
15.167	0.833	0.990
15.215	0.842	1.000
15.263	0.822	0.976
15.310	0.766	0.910
15.358	0.703	0.835
15.406	0.637	0.756
15.453	0.591	0.702
15.501	0.569	0.676
15.549	0.569	0.676
15.597	0.592	0.703
15.644	0.634	0.753
15.692	0.671	0.798
15.740	0.698	0.830
15.787	0.717	0.852
15.835	0.715	0.850
15.883	0.692	0.822
15.930	0.650	0.772
15.978	0.586	0.696
16.026	0.518	0.615
16.074	0.449	0.534
16.121	0.379	0.451
16.169	0.317	0.377
16.217	0.265	0.314
16.264	0.220	0.261
16.312	0.183	0.217
16.360	0.153	0.182
16.407	0.129	0.153
16.455	0.109	0.129
16.503	0.092	0.109
16.550	0.077	0.091
16.598	0.065	0.078
16.646	0.056	0.066
16.694	0.048	0.057
16.741	0.042	0.049
16.789	0.036	0.043
16.837	0.032	0.038
16.884	0.028	0.033
16.932	0.024	0.028
16.980	0.020	0.024
17.027	0.018	0.022
17.075	0.018	0.021
17.123	0.016	0.019
17.171	0.016	0.019
17.218	0.016	0.019
17.266	0.015	0.017
17.314	0.015	0.018
17.361	0.016	0.019
17.409	0.014	0.017
17.457	0.013	0.016
17.504	0.013	0.016
17.552	0.014	0.016
17.600	0.014	0.017
17.647	0.012	0.015
17.695	0.011	0.013
17.743	0.011	0.012
17.791	0.009	0.011
17.838	0.009	0.010
17.886	0.008	0.010
17.934	0.008	0.009
17.981	0.007	0.009
18.029	0.008	0.009
18.077	0.008	0.009
18.124	0.007	0.008
18.172	0.006	0.008
18.220	0.006	0.007
18.268	0.005	0.006
18.315	0.004	0.005
18.363	0.006	0.007
18.411	0.008	0.010
18.458	0.008	0.010
18.506	0.007	0.009
18.554	0.006	0.008
18.601	0.007	0.009
18.649	0.007	0.008
18.697	0.006	0.007
18.744	0.006	0.007
18.792	0.005	0.006
18.840	0.003	0.004
18.888	0.002	0.003
18.935	0.002	0.002
18.983	0.001	0.001
19.031	0.001	0.001
19.078	0.002	0.003
19.126	0.002	0.002
19.174	0.002	0.002
19.221	0.001	0.001
19.269	-0.000	-0.000
19.317	-0.000	-0.000
19.365	-0.001	-0.001
19.412	-0.002	-0.002
19.460	-0.002	-0.002
19.508	-0.002	-0.002
19.555	-0.002	-0.002
19.603	-0.002	-0.002
19.651	-0.001	-0.002
19.698	-0.002	-0.002
19.746	-0.003	-0.003
19.794	-0.003	-0.003
19.841	-0.003	-0.004
19.889	-0.004	-0.005
19.937	-0.004	-0.005
19.985	-0.004	-0.005
20.032	-0.004	-0.005
20.080	-0.004	-0.004
20.128	-0.003	-0.004
20.175	-0.003	-0.003
20.223	-0.002	-0.003
20.271	-0.003	-0.003
20.318	-0.003	-0.003
20.366	-0.003	-0.004
20.414	-0.003	-0.004
20.462	-0.003	-0.004
20.509	-0.004	-0.004
20.557	-0.004	-0.005
20.605	-0.004	-0.005
20.652	-0.004	-0.005
20.700	-0.004	-0.005
20.748	-0.003	-0.004
20.795	-0.003	-0.004
20.843	-0.004	-0.004
20.891	-0.004	-0.005
20.938	-0.004	-0.005
20.986	-0.004	-0.005
21.034	-0.004	-0.005
21.082	-0.005	-0.006
21.129	-0.005	-0.006
21.177	-0.004	-0.005
21.225	-0.005	-0.006
21.272	-0.005	-0.006
21.320	-0.005	-0.006
21.368	-0.005	-0.006
21.415	-0.004	-0.005
21.463	-0.005	-0.005
21.511	-0.005	-0.006
21.559	-0.005	-0.006
21.606	-0.006	-0.007
21.654	-0.006	-0.007
21.702	-0.006	-0.007
21.749	-0.006	-0.007
21.797	-0.006	-0.007
21.845	-0.006	-0.007
21.892	-0.006	-0.007
21.940	-0.006	-0.007
21.988	-0.006	-0.007
22.035	-0.006	-0.007
22.083	-0.006	-0.007
22.131	-0.006	-0.007
22.179	-0.006	-0.007
22.226	-0.005	-0.007
22.274	-0.005	-0.006
22.322	-0.005	-0.005
22.369	-0.005	-0.005
22.417	-0.004	-0.005
22.465	-0.005	-0.006
22.512	-0.005	-0.006
22.560	-0.005	-0.006
22.608	-0.005	-0.006
22.656	-0.005	-0.006
22.703	-0.005	-0.006
22.751	-0.006	-0.007
22.799	-0.006	-0.007
22.846	-0.006	-0.007
22.894	-0.006	-0.007
22.942	-0.006	-0.007
22.989	-0.006	-0.007
23.037	-0.006	-0.007
23.085	-0.006	-0.007
23.133	-0.006	-0.007
23.180	-0.006	-0.007
23.228	-0.006	-0.007
23.276	-0.006	-0.008
23.323	-0.006	-0.007
23.371	-0.006	-0.007
23.419	-0.005	-0.006
23.466	-0.005	-0.006
23.514	-0.006	-0.007
23.562	-0.006	-0.007
23.609	-0.006	-0.007
23.657	-0.006	-0.007
23.705	-0.006	-0.007
23.753	-0.006	-0.007
23.800	-0.006	-0.007
23.848	-0.006	-0.007
23.896	-0.006	-0.007
23.943	-0.006	-0.007
23.991	-0.006	-0.007
24.039	-0.006	-0.007
24.086	-0.006	-0.007
24.134	-0.006	-0.007
24.182	-0.006	-0.007
24.230	-0.006	-0.007
24.277	-0.006	-0.007
24.325	-0.006	-0.007
24.373	-0.006	-0.007
24.420	-0.006	-0.007
24.468	-0.006	-0.007
24.516	-0.006	-0.007
24.563	-0.006	-0.007
24.611	-0.006	-0.007
24.659	-0.006	-0.007
24.706	-0.006	-0.007
24.754	-0.006	-0.007
24.802	-0.006	-0.008
24.850	-0.006	-0.007
24.897	-0.006	-0.007
24.945	-0.006	-0.007
24.993	-0.006	-0.007
25.040	-0.006	-0.007
25.088	-0.006	-0.007
25.136	-0.006	-0.007
25.183	-0.006	-0.008
25.231	-0.006	-0.008
25.279	-0.006	-0.008
25.327	-0.006	-0.007
25.374	-0.006	-0.007
25.422	-0.006	-0.008
25.470	-0.007	-0.008
25.517	-0.007	-0.008
25.565	-0.006	-0.008
25.613	-0.006	-0.008
25.660	-0.006	-0.008
25.708	-0.007	-0.008
25.756	-0.007	-0.008
25.803	-0.006	-0.008
25.851	-0.006	-0.007
25.899	-0.006	-0.007
25.947	-0.006	-0.007
25.994	-0.006	-0.007
26.042	-0.006	-0.007
26.090	-0.006	-0.007
26.137	-0.006	-0.007
26.185	-0.006	-0.007
26.233	-0.006	-0.007
26.280	-0.006	-0.007
26.328	-0.006	-0.007
26.376	-0.006	-0.008
26.424	-0.006	-0.008
26.471	-0.007	-0.008
26.519	-0.007	-0.008
26.567	-0.007	-0.008
26.614	-0.007	-0.008
26.662	-0.006	-0.008
26.710	-0.007	-0.008
26.757	-0.007	-0.008
26.805	-0.007	-0.008
26.853	-0.007	-0.008
26.900	-0.007	-0.008
26.948	-0.007	-0.008
26.996	-0.007	-0.008
27.044	-0.007	-0.008
27.091	-0.007	-0.008
27.139	-0.007	-0.008
27.187	-0.007	-0.008
27.234	-0.007	-0.008
27.282	-0.007	-0.008
27.330	-0.007	-0.008
27.377	-0.007	-0.008
27.425	-0.007	-0.008
27.473	-0.007	-0.008
27.521	-0.007	-0.008
27.568	-0.007	-0.008
27.616	-0.007	-0.008
27.664	-0.007	-0.008
27.711	-0.007	-0.008
27.759	-0.007	-0.008
27.807	-0.007	-0.008
27.854	-0.007	-0.008
27.902	-0.007	-0.008
27.950	-0.007	-0.008
27.997	-0.007	-0.008
28.045	-0.007	-0.008
28.093	-0.007	-0.008
28.141	-0.007	-0.008
28.188	-0.007	-0.008
28.236	-0.007	-0.008
28.284	-0.007	-0.008
28.331	-0.007	-0.008
28.379	-0.007	-0.008
28.427	-0.007	-0.008
28.474	-0.007	-0.008
28.522	-0.007	-0.008
28.570	-0.007	-0.008
28.618	-0.007	-0.008
28.665	-0.007	-0.008
28.713	-0.007	-0.008
28.761	-0.007	-0.008
28.808	-0.007	-0.008
28.856	-0.007	-0.008
28.904	-0.007	-0.008
28.951	-0.007	-0.008
28.999	-0.007	-0.008
29.047	-0.007	-0.008
29.094	-0.007	-0.008
29.142	-0.007	-0.008
29.190	-0.007	-0.008
29.238	-0.007	-0.008
29.285	-0.007	-0.008
29.333	-0.007	-0.008
29.381	-0.007	-0.008
29.428	-0.007	-0.008
29.476	-0.007	-0.008
29.524	-0.007	-0.008
29.571	-0.007	-0.008
29.619	-0.007	-0.008
29.667	-0.007	-0.008
29.715	-0.007	-0.008
29.762	-0.007	-0.008
29.810	-0.007	-0.008
29.858	-0.007	-0.008
29.905	-0.007	-0.008
29.953	-0.007	-0.008
30.001	-0.007	-0.008
30.048	-0.007	-0.008
30.096	-0.007	-0.008
30.144	-0.007	-0.008
30.192	-0.007	-0.008
30.239	-0.007	-0.008
30.287	-0.007	-0.008
30.335	-0.007	-0.008
30.382	-0.007	-0.008
30.430	-0.007	-0.008
30.478	-0.007	-0.008
30.525	-0.007	-0.008
30.573	-0.007	-0.008
30.621	-0.007	-0.008
30.668	-0.007	-0.008
30.716	-0.007	-0.008
30.764	-0.007	-0.008
30.812	-0.007	-0.008
30.859	-0.007	-0.008
30.907	-0.007	-0.008
30.955	-0.007	-0.008
31.002	-0.007	-0.008
31.050	-0.007	-0.008
31.098	-0.007	-0.008
31.145	-0.007	-0.008
31.193	-0.007	-0.008
31.241	-0.007	-0.008
31.289	-0.007	-0.008
31.336	-0.007	-0.008
31.384	-0.007	-0.008
31.432	-0.007	-0.008
31.479	-0.007	-0.008
31.527	-0.007	-0.008
31.575	-0.007	-0.008
31.622	-0.007	-0.008
31.670	-0.007	-0.008
31.718	-0.007	-0.008
31.765	-0.007	-0.008
31.813	-0.007	-0.008
31.861	-0.007	-0.008
31.909	-0.007	-0.008
31.956	-0.007	-0.008
32.004	-0.007	-0.008
32.052	-0.007	-0.008
32.099	-0.007	-0.008
32.147	-0.007	-0.008
32.195	-0.007	-0.008
32.242	-0.007	-0.008
32.290	-0.007	-0.008
32.338	-0.007	-0.008
32.386	-0.007	-0.008
32.433	-0.007	-0.008
32.481	-0.007	-0.008
32.529	-0.007	-0.008
32.576	-0.007	-0.008
32.624	-0.007	-0.008
32.672	-0.007	-0.008
32.719	-0.007	-0.008
32.767	-0.007	-0.008
32.815	-0.007	-0.008
32.862	-0.007	-0.008
32.910	-0.007	-0.008
32.958	-0.007	-0.008
33.006	-0.007	-0.008
33.053	-0.007	-0.008
33.101	-0.007	-0.008
33.149	-0.007	-0.008
33.196	-0.007	-0.008
33.244	-0.007	-0.008
33.292	-0.007	-0.008
33.339	-0.007	-0.008
33.387	-0.007	-0.008
33.435	-0.007	-0.008
33.483	-0.007	-0.008
33.530	-0.007	-0.008
33.578	-0.007	-0.008
33.626	-0.007	-0.008
33.673	-0.007	-0.008
33.721	-0.007	-0.008
33.769	-0.007	-0.008
33.816	-0.007	-0.008
33.864	-0.007	-0.008
33.912	-0.007	-0.008
33.959	-0.007	-0.008
34.007	-0.007	-0.008
34.055	-0.007	-0.008
34.103	-0.007	-0.008
34.150	-0.007	-0.008
34.198	-0.007	-0.008
34.246	-0.007	-0.008
34.293	-0.007	-0.008
34.341	-0.007	-0.008
34.389	-0.007	-0.008
34.436	-0.007	-0.008
34.484	-0.007	-0.008
34.532	-0.007	-0.008
34.580	-0.007	-0.008
34.627	-0.007	-0.008
34.675	-0.007	-0.008
34.723	-0.007	-0.008
34.770	-0.007	-0.008
34.818	-0.007	-0.008
34.866	-0.007	-0.008
34.913	-0.007	-0.008
34.961	-0.007	-0.008
35.009	-0.007	-0.008
35.056	-0.007	-0.008
35.104	-0.007	-0.008
35.152	-0.007	-0.008
35.200	-0.007	-0.008
35.247	-0.007	-0.008
35.295	-0.007	-0.008
35.343	-0.007	-0.008
35.390	-0.007	-0.008
35.438	-0.007	-0.008
35.486	-0.007	-0.008
35.533	-0.007	-0.008
35.581	-0.007	-0.008
35.629	-0.007	-0.008
35.677	-0.007	-0.008
35.724	-0.007	-0.008
35.772	-0.007	-0.008
35.820	-0.007	-0.008
35.867	-0.007	-0.008
35.915	-0.007	-0.008
35.963	-0.007	-0.008
36.010	-0.007	-0.008
36.058	-0.007	-0.008
36.106	-0.007	-0.008
36.153	-0.007	-0.008
36.201	-0.007	-0.008
36.249	-0.007	-0.008
36.297	-0.007	-0.008
36.344	-0.007	-0.008
36.392	-0.007	-0.008
36.440	-0.007	-0.008
36.487	-0.007	-0.008
36.535	-0.007	-0.008
36.583	-0.007	-0.008
36.630	-0.007	-0.008
36.678	-0.007	-0.008
36.726	-0.007	-0.008
36.774	-0.007	-0.008
36.821	-0.007	-0.008
36.869	-0.007	-0.008
36.917	-0.007	-0.008
36.964	-0.007	-0.008
37.012	-0.007	-0.008
37.060	-0.007	-0.008
37.107	-0.007	-0.008
37.155	-0.007	-0.008
37.203	-0.007	-0.008
37.251	-0.007	-0.008
37.298	-0.007	-0.008
37.346	-0.007	-0.008
37.394	-0.007	-0.008
37.441	-0.007	-0.008
37.489	-0.007	-0.008
37.537	-0.007	-0.008
37.584	-0.007	-0.008
37.632	-0.007	-0.008
37.680	-0.007	-0.008
37.727	-0.007	-0.008
37.775	-0.007	-0.008
37.823	-0.007	-0.008
37.871	-0.007	-0.008
37.918	-0.007	-0.008
37.966	-0.007	-0.008
38.014	-0.007	-0.008
38.061	-0.007	-0.008
38.109	-0.007	-0.008
38.157	-0.007	-0.008
38.204	-0.007	-0.008
38.252	-0.007	-0.008
38.300	-0.007	-0.008
38.348	-0.007	-0.008
38.395	-0.007	-0.008
38.443	-0.007	-0.008
38.491	-0.007	-0.008
38.538	-0.007	-0.008
38.586	-0.007	-0.008
38.634	-0.007	-0.008
38.681	-0.007	-0.008
38.729	-0.007	-0.008
38.777	-0.007	-0.008
38.824	-0.007	-0.008
38.872	-0.007	-0.008
38.920	-0.007	-0.008
38.968	-0.007	-0.008
39.015	-0.007	-0.008
39.063	-0.007	-0.008
39.111	-0.007	-0.008
39.158	-0.007	-0.008
39.206	-0.007	-0.008
39.254	-0.007	-0.008
39.301	-0.007	-0.008
39.349	-0.007	-0.008
39.397	-0.007	-0.008
39.445	-0.007	-0.008
39.492	-0.007	-0.008
39.540	-0.007	-0.008
39.588	-0.007	-0.008
39.635	-0.007	-0.008
39.683	-0.007	-0.008
39.731	-0.007	-0.008
39.778	-0.007	-0.008
39.826	-0.007	-0.008
39.874	-0.007	-0.008
39.921	-0.007	-0.008
39.969	-0.007	-0.008
40.017	-0.007	-0.008
40.065	-0.007	-0.008
40.112	-0.007	-0.008
40.160	-0.007	-0.008
40.208	-0.007	-0.008
40.255	-0.007	-0.008
40.303	-0.007	-0.008
40.351	-0.007	-0.008
40.398	-0.007	-0.008
40.446	-0.007	-0.008
40.494	-0.007	-0.008
40.542	-0.007	-0.008
40.589	-0.007	-0.008
40.637	-0.007	-0.008
40.685	-0.007	-0.008
40.732	-0.007	-0.008
40.780	-0.007	-0.008
40.828	-0.007	-0.008
40.875	-0.007	-0.008
40.923	-0.007	-0.008
40.971	-0.007	-0.008
41.018	-0.007	-0.008
41.066	-0.007	-0.008
41.114	-0.007	-0.008
41.162	-0.007	-0.008
41.209	-0.007	-0.008
41.257	-0.007	-0.008
41.305	-0.007	-0.008
41.352	-0.007	-0.008
41.400	-0.007	-0.008
41.448	-0.007	-0.008
41.495	-0.007	-0.008
41.543	-0.007	-0.008
41.591	-0.007	-0.008
41.639	-0.007	-0.008
41.686	-0.007	-0.008
41.734	-0.007	-0.008
41.782	-0.007	-0.008
41.829	-0.007	-0.008
41.877	-0.007	-0.008
41.925	-0.007	-0.008
41.972	-0.007	-0.008
42.020	-0.007	-0.008
42.068	-0.007	-0.008
42.115	-0.007	-0.008
42.163	-0.007	-0.008
42.211	-0.007	-0.008
42.259	-0.007	-0.008
42.306	-0.007	-0.008
42.354	-0.007	-0.008
42.402	-0.007	-0.008
42.449	-0.007	-0.008
42.497	-0.007	-0.008
42.545	-0.007	-0.008
42.592	-0.007	-0.008
42.640	-0.007	-0.008
42.688	-0.007	-0.008
42.736	-0.007	-0.008
42.783	-0.007	-0.008
42.831	-0.007	-0.008
42.879	-0.007	-0.008
42.926	-0.007	-0.008
42.974	-0.007	-0.008
43.022	-0.007	-0.008
43.069	-0.007	-0.008
43.117	-0.007	-0.008
