,Time,A,B,Z,E
0,0.0,34516.20706176262,31045.575932066156,0.9625655881308872,0.03743441186911279
1,1889.0,33475.526055268594,29580.18713461894,0.9706462705737706,0.029353729426229526
2,3771.0,34123.79644316695,28132.892584010624,1.0021421858106072,-0.0021421858106072163
3,5657.0,33478.22506601273,29098.77330438013,0.9781505850631299,0.02184941493687009
4,7542.0,30159.05605276912,27040.974138997222,0.9640054923384551,0.03599450766154488
5,9428.0,32952.86059843277,30210.805177145503,0.9538581969585873,0.04614180304141266
6,11317.0,29109.760904429742,27825.645846476727,0.9347903760629304,0.06520962393706958
7,13209.0,28889.402107872655,27994.35717352076,0.9285563958638173,0.07144360413618267
8,15100.0,31484.515487918143,28531.128511384082,0.9591589101679332,0.04084108983206686
9,16986.0,28247.566961277742,26187.47871727896,0.9487689799587802,0.051231020041219814
10,18871.0,28012.102370932524,27013.798369148004,0.9307575467673336,0.06924245323266642
11,20760.0,28033.06143348648,25382.69549814969,0.9595313389109762,0.04046866108902378
12,22640.0,27282.465109176155,26199.772075426943,0.9326787127249109,0.06732128727508908
13,24528.0,26236.62287159868,24845.503142742662,0.9390678894020763,0.06093211059792369
14,26411.0,26018.381249217393,25041.19185092038,0.9316678638576421,0.06833213614235784
15,28294.0,25300.0,25074.0,0.91827361371778,0.08172638628221993
16,30178.0,27066.07627358354,26447.710830150027,0.9247357266037195,0.07526427339628053
17,32060.0,26549.472653095876,28981.92407698166,0.8741285882909916,0.1258714117090084
18,33950.0,26916.21558036251,27688.957655944523,0.9012353759676645,0.09876462403233555
19,35839.0,26336.71879746663,27282.454732503465,0.8980480474541989,0.10195195254580112
20,37730.0,27162.180895416896,29158.179687380667,0.8817738849748669,0.1182261150251331
21,39615.0,25437.225691209904,30889.73844397278,0.8256793449593407,0.17432065504065927
22,41505.0,26507.387889849117,28583.07964824766,0.8797281662556916,0.12027183374430835
23,43394.0,25276.499257439933,30142.46701845136,0.8339049006204863,0.1660950993795137
24,45280.0,24474.722981677285,29281.605023695574,0.8324271022135048,0.1675728977864952
25,47168.0,22042.433254881245,27349.09092957052,0.8159529706411928,0.18404702935880726
26,49053.0,23418.27275894512,28491.016463768956,0.8248363649126154,0.1751636350873846
27,50938.0,24758.89388868237,30126.800259098676,0.8247647653102059,0.17523523468979413
28,52819.0,25442.908559821364,29220.18987187428,0.8510019085397441,0.14899809146025586
29,54707.0,24577.251058324924,29101.245464089672,0.8371262963754511,0.16287370362454887
30,56594.0,24661.13702349064,30341.45462671089,0.8197623434881116,0.18023765651188836
31,58482.0,22956.276999662943,28839.966226201435,0.8103286922631301,0.18967130773686988
32,60370.0,25538.934579059747,30927.256519436025,0.8269367709182022,0.1730632290817979
33,62260.0,23940.776264692813,29908.423649058263,0.8128623246313664,0.1871376753686336
34,64140.0,23552.225352438913,30171.74150638666,0.8015339042998094,0.19846609570019055
35,66021.0,23078.84252762252,31532.553652896248,0.7726605982161492,0.22733940178385076
36,67909.0,21488.5287511671,31941.428548000993,0.7353259226495495,0.2646740773504504
37,101087.0,22943.572863531055,36361.03241882484,0.7073439625915903,0.29265603740840973
38,103618.0,21337.451121974012,35797.97548457195,0.6828024750624808,0.3171975249375191
39,105501.0,22331.43499117875,35196.7650577707,0.7097311505244074,0.2902688494755926
40,107386.0,20442.430584917445,32572.88537579886,0.7050001339525076,0.2949998660474924
41,109277.0,21034.24437384636,35951.86764634709,0.6748634528137036,0.3251365471862964
42,111162.0,20547.136132559797,33661.852127522325,0.6930076333892511,0.3069923666107489
43,113053.0,19999.727646897874,36582.39556407618,0.6462534332655473,0.3537465667344527
44,114932.0,20219.46394336022,35490.03032216084,0.6635878770000277,0.3364121229999722
45,116817.0,18733.3969005558,34000.92815960773,0.6495030046158208,0.3504969953841792
46,118707.0,19775.788675422184,35025.87612353664,0.6597783833707431,0.3402216166292568
47,120592.0,18043.11947670986,36582.57524548682,0.6039106290928645,0.3960893709071354
48,122480.0,18763.546267850397,36187.03958050652,0.6243104686183937,0.3756895313816063
49,124367.0,19583.599733290197,35350.82900208595,0.6517873588997836,0.34821264110021644
50,126251.0,17397.094625722082,33792.56034938515,0.6213732387506232,0.3786267612493768
51,128132.0,19013.59894652295,36326.0326810585,0.6281828666175869,0.37181713338241307
52,131910.0,18155.78384394529,37343.27060113214,0.5981187836207205,0.40188121637927954
53,133794.0,18190.127729171447,35604.58626594683,0.6182358250355151,0.38176417496448484
54,135677.0,17463.215125097315,34632.65142242851,0.6128849535975281,0.38711504640247185
55,137561.0,16405.210163696527,36043.60838517563,0.5718789491191637,0.42812105088083635
56,139447.0,16425.346902497735,37029.01728489891,0.5618099211499714,0.4381900788500286
57,141330.0,17788.241272706902,37024.5974067271,0.5933469839147059,0.40665301608529414
58,143217.0,16714.044133987605,36293.54549139592,0.5765029183758372,0.4234970816241627
59,145101.0,17946.93447930889,38499.05723762479,0.5813199017045065,0.41868009829549346
60,146990.0,17808.850789886295,38467.43227367244,0.578586787087122,0.421413212912878
61,148868.0,17696.149407888373,37199.55956286075,0.5893840787443038,0.41061592125569624
62,150752.0,15249.990617767922,34939.96786469346,0.5555341508987157,0.4444658491012843
63,152641.0,17572.991453241106,37454.37757794883,0.5838818438797516,0.41611815612024833
64,154523.0,17400.036668814857,39811.851458282494,0.5560603191411226,0.44393968085887736
65,156410.0,15763.320364919453,38204.66482166841,0.5340347517616167,0.46596524823838337
66,158299.0,15515.32829645026,37793.0369266139,0.5321372082453671,0.46786279175463286
67,160178.0,18330.451564606847,40671.51977207406,0.5680213548492978,0.4319786451507022
68,162061.0,16427.40921569326,35947.155249454205,0.5734646780337489,0.4265353219662511
69,163948.0,17607.901101325882,40910.24081384796,0.5501423576020767,0.4498576423979233
70,165829.0,17990.444172317595,40872.61724126469,0.5588008552913765,0.4411991447086236
71,167712.0,16257.61632389401,38830.66851280767,0.5395797480717257,0.4604202519282743
72,169599.0,17908.239711905684,38121.70308596898,0.5843738072467962,0.4156261927532038
73,171486.0,17765.685462912505,40375.503272077156,0.5586709426988277,0.44132905730117233
74,173371.0,16047.902114563813,36431.15007276252,0.5591010473065947,0.4408989526934054
75,175254.0,15824.916797369387,41297.94457590111,0.5065117253071515,0.4934882746928485
76,178371.0,16060.663079516577,41908.31014858165,0.5065541589586833,0.4934458410413167
77,180257.0,16728.31335583389,41975.05769016661,0.5210112915653163,0.4789887084346837
